Level3,"Each indicator is grouped in a three level hierarchy. This column provides the third level grouping and is the universe for the topic (typically Women, Men, Both Sexes, Children, Households, Population).",:type:string,":kind:categorical,:kind:summary"
MaxAgeMen,The maximum age of men included in the survey (typically 49/54/59/64 years).,:type:int,:kind:quantitative
MaxAgeWomen,The maximum age of women included in the survey (typically 49 years).,:type:int,:kind:quantitative
MeasurementType,Specifies the type of measurement. ,:type:enum,:kind:categorical
MinAgeMen,The minimum age of men included in the survey (typically 15 years).,:type:int,:kind:quantitative
MinAgeWomen,The minimum age of women included in the survey (typically 15 years).,:type:int,:kind:quantitative
NumberOfFacilities,"For SPA or service availability surveys, the number of health facilities visited.",:type:int,:kind:quantitative
NumberofHouseholds,The total number of households interviewed in the survey.,:type:int,:kind:quantitative
NumberOfMen,The total number of men interviewed in the survey.,:type:int,:kind:quantitative
NumberOfSamplePoints,The number of sample points (or clusters/enumeration areas) visited in the survey.,:type:int,:kind:quantitative
NumberOfWomen,The total number of women interviewed in the survey.,:type:int,:kind:quantitative
NumberScale,Number Scale provides the precision (number of decimal places) that should be presented for the indicator.,:type:int,:kind:discrete
Precision,The number of decimal places that should be presented for value of the indicator.,:type:int,:kind:discrete
PublicationDate,Date specifying when the survey data was published.,:type:string,:kind:quantitative
PublicationDescription,Detailed description of the publication.,:type:string,:kind:discrete
PublicationID,Unique numeric ID for each publication.,:type:int,:kind:discrete
PublicationSize,Size in bytes of the publication PDF file.,:type:int,:kind:quantitative
PublicationTitle,Title for the publication.,:type:string,:kind:discrete
PublicationURL,The URL providing access to the publication.,:type:string:url,:kind:discrete
QuickStatOrder,This column will provide an integer to help provide a special sort order for all the Quickstat Indicators. These are indicators that display a '1' in the IsQuickStat column and are used or viewed most often. The information can be utilized to serve the most common data to users quickly.,:type:int,:kind:discrete
RegionId,Unique ID given to each survey and region.,:type:string,":kind:categorical,:kind:summary"
RegionName,The region name for the surveys (countries) returned as a result of a specific query. E.g. region name for Egypt is North Africa/West Asia/Europe,:type:string,":kind:categorical,:kind:summary"
RegionOrder,A numeric value that can be used for ordering regions/sub-regions in a list.,:type:int,:kind:discrete
ReleaseDate,Date specifying when the survey data was made available.,:type:string,:kind:quantitative
Removed,"Indicating whether the survey or indicator was removed. 0 = Added/Updated, 1 = Removed.",:type:string,":kind:categorical,:kind:summary"
RowNumber,A unique to identify each row,:type:int,:kind:discrete
SDRID,This column contains the Spatial Data Repository Indicator ID.,:type:int,:kind:discrete
ShortName,Provides a short name for the specified indicator that can be used when displaying the indicator within the hierarchy level if the indicator label is too long. If space is available we recommend using the indicator label.,:type:string,:kind:discrete
SubRegionName,The sub region name for the surveys (countries) returned as a result of a specific query. E.g. Egypt is in the North Africa sub region.,:type:string,":kind:categorical,:kind:summary"
SurveyCharacteristicID,Numeric survey characteristic ID.,:type:string,:kind:discrete
SurveyCharacteristicIds,"A list of IDs for the survey characteristics that includes additional topics, modules or features that were included in the survey beyond the standard. See the survey characteristics for the descriptions associated with each ID.",:type:enum-set,:kind:categorical
SurveyCharacteristicName,"Name of the survey characteristic (topic, module, or feature)",:type:string,:kind:discrete
SurveyId,"DHS survey ID. Each survey will always have a unique ID (of the form ccyyyyttt where cc is the DHS country code, yyyy is the survey year, and ttt is the survey type) and can be used to obtain national or subnational data for a particular survey.",:type:string,:kind:discrete
SurveyNum,Unique numeric id assigned to each survey.,:type:int,:kind:discrete
SurveyStatus,Specifies whether the survey is ongoing or completed.,:type:string,":kind:categorical,:kind:summary"
SurveyType,"The survey type determines whether the survey was a DHS, AIS, MIS, SPA, RHS or other type of survey.",:type:string,":kind:categorical,:kind:summary"
SurveyYear,The principal year in which the survey was conducted.,:type:int,:kind:quantitative
SurveyYearLabel,"The survey year label provides the range of years in which the fieldwork took place. For example if a survey started in 1998 and finished in 1999, the survey year would be 1998 while the survey year label would provide 1998-99. This information could be used to make the user interface more intuitive and accurate.",:type:string,:kind:discrete
TagID,Numeric ID for the tag.,:type:string,:kind:discrete
TagIds,A list of tag IDs for selecting indicators according to tagged groups. See the tags list for the descriptions associated with each ID.,:type:enum-set,:kind:categorical
TagName,Name of the tag.,:type:string,:kind:discrete
TagOrder,Sort order for the tags.,:type:int,:kind:discrete
TagType,"Tag Type: 0 = Subject groups, 1 = Indicator sets (e.g. MDGs, PEPFAR, UNGASS, UNAIDS, PMI/RBM, MICS, UNESCO)",:type:string,":kind:categorical,:kind:summary"
ThumbnailURL,A thumbnail image of the publication cover.,:type:string:url,:kind:discrete
UNAIDS_countryCode,UNAIDS specific three-letter country code.,:type:string,:kind:discrete
UNICEF_countryCode,UNICEF specific three-letter country code.,:type:string,:kind:discrete
UniverseOfMen,"The universe of men interviewed: All Men, Ever Married Men, or Husbands.",:type:string,":kind:categorical,:kind:summary"
UniverseOfWomen,The universe of women interviewed: All Women or Ever Married Women.,:type:string,":kind:categorical,:kind:summary"
UNSTAT_countryCode,UNSTAT specific three-letter country code.,:type:string,:kind:discrete
UpdateDate,Date specifying when the update occurred.,:type:time-stamp,:kind:quantitative
Value,"The actual value (percentage, rate, number, etc.) of the particular indicator specified. The value can be used to provide statistics to users.",:type:mixed,:kind:quantitative
WHO_countryCode,WHO specific two-letter country code.,:type:string,:kind:discrete
